"","E1_Root","E1_Soil","E2_Root","E2_Soil","E3_Root","E3_Soil","E4_Root","E4_Soil","E5_Root","E5_Soil","E6_Root","E6_Soil","E7_Root","E7_Soil","E8_Root","E8_Soil","E9_Root","E9_Soil","Neg_Control","P1_Root","P1_Soil","P2_Root","P2_Soil","P3_Root","P3_Soil","P4_Root","P4_Soil","P5_Root","P5_Soil","P6_Root","P6_Soil","P7_Root","P7_Soil","P8_Root","P8_Soil","P9_Root","P9_Soil"
"E1_Root",0,0.0608179614560967,0.0806709970069117,0.0645686153585941,0.0737552056605256,0.0709912554325986,0.0844712775786346,0.0829262173703795,0.0689537360218551,0.0702368221848347,0.0702130118409237,0.0743721795426182,0.102011447205793,0.0767512173171667,0.0617988349124157,0.0675564901256753,0.0886861749337616,0.0744862336590042,0.401495379798818,0.0809646061678202,0.0957371318904816,0.0615387740230061,0.0646500396844819,0.0698215196844323,0.0681828877725877,0.0814279882987122,0.0854208214970279,0.0755611927307337,0.085532557223939,0.103540548268267,0.0777511579032971,0.1048912633816,0.0650877080871826,0.0649099830517964,0.0797214692419958,0.063754018931635,0.0687644021086247
"E1_Soil",0.0608179614560967,0,0.110540577689937,0.0390135361881401,0.0824189503037944,0.048931344813733,0.0863399801247211,0.0445106599751288,0.0694493156978825,0.0405671091477197,0.0737835360988972,0.03741396658421,0.100794578243338,0.0376369579713199,0.057280113431201,0.0409665275730026,0.0838204523939871,0.0354915241156643,0.398955780464469,0.083614749666272,0.0913434647954356,0.0578446385529098,0.0293410221134232,0.0806600413773597,0.03803024484362,0.0754122317194339,0.048615134817395,0.0681815564664251,0.0677499444060357,0.107946741550551,0.0421603304826241,0.100344707521791,0.0344394633024194,0.0614253297166522,0.0522129622830985,0.0686809001740848,0.0311399584909271
"E2_Root",0.0806709970069117,0.110540577689937,0,0.111682293653985,0.0990424137735116,0.115396753148751,0.107410150621679,0.122155231237681,0.103570819728156,0.11507006122159,0.102985429843737,0.117849240020495,0.124516668042448,0.121377516848576,0.10260566241699,0.114189069758825,0.117421927902086,0.119387091337318,0.411696508175986,0.102846372050286,0.137064538824999,0.0972903775697972,0.110773646817101,0.102176743422643,0.116745907830737,0.102703461131247,0.125828771670099,0.116383698697211,0.130542052372166,0.109682064534676,0.119877936431698,0.12468640694319,0.113669623078764,0.102590943329584,0.123817759702737,0.111578744216944,0.115043452180551
"E2_Soil",0.0645686153585941,0.0390135361881401,0.111682293653985,0,0.0823990803794074,0.0500447766023575,0.0888366442869253,0.0551122974097519,0.0681807723772288,0.0472363913270316,0.0731206656095353,0.0479618908801586,0.101798881344447,0.0495492356826206,0.0619717410314984,0.0444675870865651,0.0888352432797976,0.0488356679609598,0.397740412002576,0.0861091819041336,0.0895190046579081,0.0614235011428702,0.038105247371453,0.0855023748193214,0.0480139023087186,0.0780719656515621,0.0579951042742703,0.0669197928499197,0.0673345840341695,0.109635714540525,0.0509391181745276,0.102388590949684,0.0413620142654991,0.0641583493325643,0.0573234260007201,0.0750405888779474,0.0412726233587886
"E3_Root",0.0737552056605256,0.0824189503037944,0.0990424137735116,0.0823990803794074,0,0.0730911313521816,0.0961797016310582,0.0931938876424389,0.0687900313123209,0.0815916288087482,0.0872008491079983,0.0877171438849212,0.114299322855669,0.0900212294487259,0.0790965291935328,0.0845031146251084,0.0970799793846685,0.0897308172593894,0.404344367014465,0.104512280468363,0.117648562351476,0.0845965649441392,0.0811788267539267,0.0980735017677289,0.0872260632418692,0.0941604157587248,0.100929815637636,0.0909377379499485,0.107569198064573,0.12418997257802,0.0927333469769028,0.122890989264779,0.0848168180268445,0.0807948739402942,0.0930173837979972,0.0833566664423672,0.079274424759511
"E3_Soil",0.0709912554325986,0.048931344813733,0.115396753148751,0.0500447766023575,0.0730911313521816,0,0.0859443332092654,0.0561712844303766,0.0584886172861856,0.0383035666521067,0.0717811840394471,0.0499754050698166,0.088541751679041,0.0505136528087364,0.0646558206040544,0.0487322555218311,0.0891004602395895,0.0490329358584077,0.397474736026489,0.0908860913585366,0.0853870165153318,0.069427957020223,0.044547418475293,0.0864537479520731,0.0518703296182689,0.0782231008391094,0.0640914513462662,0.0648576123071692,0.074964192282106,0.110651222243001,0.0481057030946768,0.105960655237756,0.0524478551116826,0.0661076044971353,0.0585487425466673,0.0759331658985271,0.0389978231542655
"E4_Root",0.0844712775786346,0.0863399801247211,0.107410150621679,0.0888366442869253,0.0961797016310582,0.0859443332092654,0,0.0910895325306357,0.0845965250985504,0.0832916980182666,0.0647509986484956,0.0880925990671637,0.107977500739149,0.0907204985202976,0.0799408034335692,0.0855357123066908,0.0725441631375501,0.08963486168401,0.402787196344281,0.06821859056091,0.118187293369094,0.0720195001078232,0.0831215741804502,0.0833861801858953,0.0905540547454613,0.0634300792006795,0.0948678716494535,0.0928168205975335,0.108476851549687,0.073596490531416,0.0920072813944516,0.108965991119521,0.0889964430389594,0.0794561288013906,0.0993982632155341,0.0871560109589712,0.0854267754745598
"E4_Soil",0.0829262173703795,0.0445106599751288,0.122155231237681,0.0551122974097519,0.0931938876424389,0.0561712844303766,0.0910895325306357,0,0.0788635037283036,0.0473645397069101,0.0793049721209663,0.0328373095518536,0.106868494428694,0.037205344681714,0.0770089590198586,0.0550951341411591,0.0935659590892029,0.0438053662845155,0.398454217125382,0.0970061863225217,0.101684181444877,0.074774361301657,0.0436578568725705,0.0913941846166668,0.0493226303523372,0.0830421728848,0.0428548962958151,0.0865980163294515,0.0833335921818223,0.111996807871987,0.0406921013386574,0.106754742204732,0.0552973237591065,0.0815245680132957,0.0661934452830959,0.0889951961827371,0.0446415577340804
"E5_Root",0.0689537360218551,0.0694493156978825,0.103570819728156,0.0681807723772288,0.0687900313123209,0.0584886172861856,0.0845965250985504,0.0788635037283036,0,0.0616824200642621,0.0714702857233938,0.0721699380147601,0.0941688395536614,0.0758944776061007,0.0655203941515419,0.0682643724791458,0.0887687572340122,0.0732939754124733,0.399575258122351,0.0930201405008488,0.101626787865727,0.0726470906905075,0.0638792962313343,0.0878192139475569,0.0738006992444357,0.0807244453258568,0.0861392029190659,0.075861247714426,0.0924628027065307,0.111440530936276,0.0765689859056869,0.106165158924025,0.0711601937548216,0.0716615050613121,0.0809252566753774,0.0785089072379116,0.0639862197510456
"E5_Soil",0.0702368221848347,0.0405671091477197,0.11507006122159,0.0472363913270316,0.0815916288087482,0.0383035666521067,0.0832916980182666,0.0473645397069101,0.0616824200642621,0,0.0698873126730257,0.0419243801798162,0.0936083161640462,0.0412885588002495,0.0588108416139377,0.0392723687246683,0.0834899953772961,0.0393001599144729,0.397171617479888,0.0905060805487062,0.0905075542182187,0.0658835489079812,0.0385484256817935,0.0814178981989781,0.0449584820758503,0.0768895140557238,0.050549318151714,0.0685245703811588,0.0722078264341937,0.109048409000411,0.0446525777896318,0.102067645420905,0.0436302715061657,0.0666476208086983,0.0589348379037494,0.0751729992303683,0.0349498910813237
