"","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund"
"E1_Root",0.418696954741664,0.0920876111300334,0.489215434128303
"E1_Soil",0.41738160661619,0.154252353087398,0.428366040296412
"E2_Root",0.396148042010274,0.0909562062710547,0.512895751718671
"E2_Soil",0.423574732837962,0.122830063989942,0.453595203172096
"E3_Root",0.508420053097688,0.0559657384260605,0.435614208476251
"E3_Soil",0.410780154924382,0.131771354797913,0.457448490277705
"E4_Root",0.313465944880093,0.205143185780926,0.481390869338981
"E4_Soil",0.36611787992671,0.193276805178478,0.440605314894812
"E5_Root",0.496895032051282,0.0983824118589744,0.404722556089744
"E5_Soil",0.378965693648018,0.158039811555583,0.462994494796399
"E6_Root",0.347369171030601,0.122056570838232,0.530574258131167
"E6_Soil",0.353812390496456,0.217558154338614,0.42862945516493
"E7_Root",0.404126694971279,0.155357064155489,0.440516240873232
"E7_Soil",0.368763075829945,0.173301622389768,0.457935301780287
"E8_Root",0.441656360161112,0.0865680328573602,0.471775606981528
"E8_Soil",0.373736001876705,0.14741397404714,0.478850024076155
"E9_Root",0.325912334083574,0.182645026302415,0.491442639614011
"E9_Soil",0.396263206861833,0.152192753272243,0.451544039865924
"Neg_Control",0.612903225806452,0.161290322580645,0.225806451612903
"P1_Root",0.339655236056255,0.168639031412646,0.491705732531099
"P1_Soil",0.4206780934361,0.0714404963966721,0.507881410167228
"P2_Root",0.370693427051136,0.114903106519315,0.514403466429549
"P2_Soil",0.40532285576825,0.155975273723958,0.438701870507793
"P3_Root",0.301408832294771,0.0716156416508625,0.626975526054366
"P3_Soil",0.331737708781336,0.182424072819395,0.485838218399269
"P4_Root",0.312637392513419,0.174495288844699,0.512867318641882
"P4_Soil",0.341260803095067,0.195617921437709,0.463121275467224
"P5_Root",0.48961476609508,0.103477404549808,0.406907829355113
"P5_Soil",0.349528171194811,0.128241276463973,0.522230552341216
"P6_Root",0.273468506169173,0.222454709900375,0.504076783930452
"P6_Soil",0.382369349642254,0.209110308372502,0.408520341985244
"P7_Root",0.294447507719453,0.159081385090428,0.546471107190119
"P7_Soil",0.382996543472481,0.132810422759904,0.484193033767615
"P8_Root",0.429462960884799,0.119471564483348,0.451065474631853
"P8_Soil",0.397647671661023,0.137006675896859,0.465345652442117
"P9_Root",0.502482949171106,0.0965798775327326,0.400937173296162
"P9_Soil",0.410834910393782,0.170847841167002,0.418317248439215
