"","Shannon","Simpson","Invsimpson","Richness","TreeSampleType","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","AMF_abund","ECM_abund","Endo_abund","Other_abund.x","Path_abund","Sap_abund","AMF_richness","ECM_richness","Endo_richness","Other_abund.y","Path_richness","Sap_richness"
"1",2.93004644000514,0.827234054933105,5.78817775466571,303,"E1_Root","E1-1_Root","Eucalyptus","1","Root","Eucalyptus_Root","1",0,0.422007471534349,0.0361329217278482,0.067221439277006,0.0170793906449232,0.457558776815874,0,16,10,83,33,161
"2",4.41758756227299,0.969094033342357,32.3562117010409,819,"E1_Soil","E1-N_Soil","Eucalyptus","1","Soil","Eucalyptus_Soil","N",5.9343659130022e-05,0.29612485905881,0.0182432298775542,0.0875516784364924,0.0169178881569838,0.58110300081103,2,54,16,220,67,460
"3",2.44936420363151,0.826241507224108,5.7551143775733,192,"E2_Root","E2-1_Root","Eucalyptus","2","Root","Eucalyptus_Root","1",0,0.54451105328437,0.0392215277608891,0.0197354021255381,0.01733383593959,0.379198180889613,0,18,5,40,21,108
"4",3.8186015645543,0.939561327159709,16.5456975311568,610,"E2_Soil","E2-N_Soil","Eucalyptus","2","Soil","Eucalyptus_Soil","N",0,0.349194560769695,0.0238996483091047,0.0517330599024465,0.0139191015112167,0.561253629507537,0,34,11,176,60,329
"5",3.40999096755775,0.923170275195282,13.0157956772818,475,"E3_Root","E3-1_Root","Eucalyptus","3","Root","Eucalyptus_Root","1",0.000252712142818462,0.0896676835321937,0.0184524991425838,0.0849428690048557,0.0140887019621293,0.792595534215419,5,24,15,145,41,245
"6",4.34610134675767,0.96069126270828,25.439636805903,945,"E3_Soil","E3-N_Soil","Eucalyptus","3","Soil","Eucalyptus_Soil","N",6.61494410372232e-05,0.226330312508859,0.00654406970261101,0.0906719838217367,0.0243571691819204,0.652030315343835,3,44,21,283,82,512
"7",2.35657173829614,0.791337275578908,4.79242280946139,176,"E4_Root","E4-1_Root","Eucalyptus","4","Root","Eucalyptus_Root","1",0,0.259806824786207,0.0150610245481969,0.432524285279385,0.00692441812193839,0.285683447264274,0,16,9,32,14,105
"8",3.9909170822087,0.957697686729825,23.6393691667221,664,"E4_Soil","E4-N_Soil","Eucalyptus","4","Soil","Eucalyptus_Soil","N",4.78134891415566e-05,0.220334120662121,0.0029548736289482,0.0440649115928586,0.0209423082440018,0.711655972382929,2,54,12,175,52,369
"9",2.70407440092486,0.822495895200725,5.6336725346764,327,"E5_Root","E5-1_Root","Eucalyptus","5","Root","Eucalyptus_Root","1",0.000903280949513394,0.0201635618407506,0.0905806251092679,0.0885263894015035,0.0385254181316653,0.761300724567299,5,9,11,109,43,150
"10",4.35307666976029,0.966384878983355,29.748517029132,756,"E5_Soil","E5-N_Soil","Eucalyptus","5","Soil","Eucalyptus_Soil","N",0.00195970687064476,0.217191929703418,0.037010741916817,0.0805327679522279,0.0403077177438571,0.622997135813035,6,43,15,215,68,409
