"","Shannon","Simpson","Invsimpson","Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness"
"1",5.84652216268181,0.992455193977667,132.54151227214,1162,"E1-1_Root","Eucalyptus","1","Root","Eucalyptus_Root","1","E1_Root",0.419686443283123,0.0963664309867814,0.483947125730095,395,181,586
"2",5.80935859907205,0.992728580129174,137.524722511505,995,"E1-2_Root","Eucalyptus","1","Root","Eucalyptus_Root","2","E1_Root",0.41741021458953,0.0865233937765838,0.496066391633887,345,151,499
"3",6.07206495988587,0.993647017020172,157.406371648599,1312,"E1-N_Soil","Eucalyptus","1","Soil","Eucalyptus_Soil","N","E1_Soil",0.424759884939788,0.132758032275364,0.442482082784847,383,245,684
"4",6.22836643102259,0.994744063133273,190.261037253038,1335,"E1-S_Soil","Eucalyptus","1","Soil","Eucalyptus_Soil","S","E1_Soil",0.408319985629388,0.180650569585198,0.411029444785414,339,357,639
"5",5.38098280900729,0.982201185852358,56.1835182785189,1000,"E2-1_Root","Eucalyptus","2","Root","Eucalyptus_Root","1","E2_Root",0.368852983727451,0.0902351901878193,0.54091182608473,350,143,507
"6",5.42667338884571,0.985506579402983,68.9968246837355,883,"E2-2_Root","Eucalyptus","2","Root","Eucalyptus_Root","2","E2_Root",0.436298235371664,0.0920167988097704,0.471684965818565,297,143,443
"7",6.45494750543893,0.996079826594496,255.090756596652,1512,"E2-N_Soil","Eucalyptus","2","Soil","Eucalyptus_Soil","N","E2_Soil",0.397469180673204,0.148971205625362,0.453559613701435,412,319,781
"8",5.89089171549845,0.992227395377105,128.657000904734,1079,"E2-S_Soil","Eucalyptus","2","Soil","Eucalyptus_Soil","S","E2_Soil",0.454625659485116,0.0917368058864009,0.453637534628483,359,149,571
"9",5.69793788008582,0.991096573636176,112.316310500769,731,"E3-1_Root","Eucalyptus","3","Root","Eucalyptus_Root","1","E3_Root",0.498747335751412,0.0606887783719104,0.440563885876678,292,85,354
"10",5.5523779615224,0.989743040511984,97.4947791466228,649,"E3-2_Root","Eucalyptus","3","Root","Eucalyptus_Root","2","E3_Root",0.518825422365245,0.0508849557522124,0.430289621882542,271,66,312
"11",6.55952965842257,0.995756040746928,235.629029490821,1686,"E3-N_Soil","Eucalyptus","3","Soil","Eucalyptus_Soil","N","E3_Soil",0.391156362350445,0.157334826427772,0.451508811221783,430,318,938
"12",6.61824418985656,0.995921935161927,245.214345457171,1865,"E3-S_Soil","Eucalyptus","3","Soil","Eucalyptus_Soil","S","E3_Soil",0.426645065993234,0.111104493257731,0.462250440749035,542,305,1018
"13",5.74080731845421,0.99171797787643,120.743459155229,917,"E4-1_Root","Eucalyptus","4","Root","Eucalyptus_Root","1","E4_Root",0.302861715505087,0.205902526387989,0.491235758106924,280,179,458
"14",5.76261855747296,0.991726912868136,120.873862931822,983,"E4-2_Root","Eucalyptus","4","Root","Eucalyptus_Root","2","E4_Root",0.323220639010113,0.204444678128889,0.472334682860999,307,174,502
"15",6.45097624325108,0.995255603543965,210.774965639313,1697,"E4-N_Soil","Eucalyptus","4","Soil","Eucalyptus_Soil","N","E4_Soil",0.340562202346382,0.199256591938669,0.460181205714949,398,456,843
"16",6.14600485529078,0.994321642873462,176.107274994472,1225,"E4-S_Soil","Eucalyptus","4","Soil","Eucalyptus_Soil","S","E4_Soil",0.400791149215155,0.185163588224169,0.414045262560676,299,312,614
"17",5.98554756222452,0.993879766920014,163.392470013938,950,"E5-1_Root","Eucalyptus","5","Root","Eucalyptus_Root","1","E5_Root",0.487647804054054,0.0985536317567568,0.413798564189189,330,151,469
"18",6.04646899175136,0.994408445945727,178.841157626986,1020,"E5-2_Root","Eucalyptus","5","Root","Eucalyptus_Root","2","E5_Root",0.505240091463415,0.0982278963414634,0.396532012195122,351,142,527
"19",6.49413051549413,0.996256109029552,267.101795403056,1541,"E5-N_Soil","Eucalyptus","5","Soil","Eucalyptus_Soil","N","E5_Soil",0.386593818567547,0.146354931051018,0.467051250381435,388,300,853
"20",6.34867893664624,0.995661959588337,230.518829956352,1330,"E5-S_Soil","Eucalyptus","5","Soil","Eucalyptus_Soil","S","E5_Soil",0.370518761665701,0.17097895346592,0.458502284868379,350,279,701
"21",5.84720700178669,0.994026380393114,167.402691468205,941,"E6-1_Root","Eucalyptus","6","Root","Eucalyptus_Root","1","E6_Root",0.323280380614467,0.119627449399242,0.557092169986291,338,143,460
"22",6.1329513349711,0.99512218382718,205.009775803377,1207,"E6-2_Root","Eucalyptus","6","Root","Eucalyptus_Root","2","E6_Root",0.36643267389917,0.123978940650925,0.509588385449904,412,198,597
"23",6.2751953955145,0.995212028874165,208.856731529607,1426,"E6-N_Soil","Eucalyptus","6","Soil","Eucalyptus_Soil","N","E6_Soil",0.40595876315686,0.154238376741686,0.439802860101454,384,310,732
"24",6.53409104812015,0.996045151318826,252.854174866437,1773,"E6-S_Soil","Eucalyptus","6","Soil","Eucalyptus_Soil","S","E6_Soil",0.308939971576169,0.272045387895057,0.419014640528774,390,513,870
"25",5.7257891413557,0.988523927072863,87.1378220014049,1052,"E7-1_Root","Eucalyptus","7","Root","Eucalyptus_Root","1","E7_Root",0.384400949866517,0.169456776648623,0.44614227348486,356,160,536
