"","Shannon","Simpson","Invsimpson","Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","AMF_abund","ECM_abund","Endo_abund","Other_abund.x","Path_abund","Sap_abund","AMF_richness","ECM_richness","Endo_richness","Other_abund.y","Path_richness","Sap_richness"
"1",2.95045285009313,0.832875232315752,5.98355356813011,264,"E1-1_Root","Eucalyptus","1","Root","Eucalyptus_Root","1","E1_Root",0,0.419051587462905,0.0343814789219074,0.0767714134720924,0.0170230497174682,0.452772470425627,0,15,10,68,28,143
"2",2.86870567471698,0.820575917134524,5.57338783082846,229,"E1-2_Root","Eucalyptus","1","Root","Eucalyptus_Root","2","E1_Root",0,0.425624253879825,0.0382759649820931,0.0555362116991643,0.0171483286908078,0.46341524074811,0,12,7,61,28,121
"3",3.83878512430913,0.942473640484718,17.3833353687945,464,"E1-N_Soil","Eucalyptus","1","Soil","Eucalyptus_Soil","N","E1_Soil",0,0.253242964226402,0.0108510256295166,0.0911733022128462,0.017740921944432,0.626991785986804,0,20,10,128,45,261
"4",4.13030349037605,0.947196863904059,18.9382690865754,555,"E1-S_Soil","Eucalyptus","1","Soil","Eucalyptus_Soil","S","E1_Soil",0.000106104548348306,0.329914408997666,0.024068048383674,0.0846979557190352,0.0162693640800736,0.544944118271203,2,40,11,136,43,323
"5",2.55433739239901,0.846698108824034,6.52307673655611,163,"E2-1_Root","Eucalyptus","2","Root","Eucalyptus_Root","1","E2_Root",0,0.487566042139659,0.0425109805003289,0.0216321161068557,0.0208470368562881,0.427443824396868,0,15,5,32,17,94
"6",2.30759404201249,0.798568462318862,4.96446589998722,166,"E2-2_Root","Eucalyptus","2","Root","Eucalyptus_Root","2","E2_Root",0,0.620951892677091,0.034805890227577,0.0171893246745849,0.0126178472756273,0.314435045145119,0,16,5,31,18,96
"7",3.50090405157638,0.912268977983882,11.3984765823916,416,"E2-N_Soil","Eucalyptus","2","Soil","Eucalyptus_Soil","N","E2_Soil",0,0.472533658582352,0.025313130365436,0.0529155134399775,0.00816249941361355,0.441075198198621,0,30,9,98,34,245
"8",3.19361334642813,0.854131530194211,6.85549112382826,366,"E2-S_Soil","Eucalyptus","2","Soil","Eucalyptus_Soil","S","E2_Soil",0,0.220463959420687,0.0224243789230423,0.0504989179502747,0.0199273410953673,0.686685402610629,0,12,7,114,41,192
"9",3.28230608291708,0.906112382043913,10.6510317523203,359,"E3-1_Root","Eucalyptus","3","Root","Eucalyptus_Root","1","E3_Root",0.000401044498115091,0.119716238737334,0.0139652606343633,0.0789522935289242,0.0113005427468874,0.775664619854376,5,20,11,104,28,191
"10",3.4658364513266,0.933873291378131,15.1224825919928,351,"E3-2_Root","Eucalyptus","3","Root","Eucalyptus_Root","2","E3_Root",0.000100558557076123,0.0588450392635457,0.0230553346314529,0.0910877693369534,0.0169486877108302,0.809962610500142,2,15,13,106,32,183
"11",3.70032533986337,0.892683708432263,9.31824968410139,585,"E3-N_Soil","Eucalyptus","3","Soil","Eucalyptus_Soil","N","E3_Soil",0,0.351322399143015,0.00372331020998222,0.0586889371925409,0.0180965356574555,0.568168817797007,0,29,12,151,53,340
"12",4.37577525139528,0.972973374089015,37.0005491360113,661,"E3-S_Soil","Eucalyptus","3","Soil","Eucalyptus_Soil","S","E3_Soil",0.000121221567048515,0.122269267735148,0.00889246781134461,0.117299183486159,0.029569403676477,0.721848455723823,3,29,16,205,57,351
"13",2.27712992978,0.757304557299883,4.12039051444256,154,"E4-1_Root","Eucalyptus","4","Root","Eucalyptus_Root","1","E4_Root",0,0.218885225123528,0.0173682282228758,0.47667567754904,0.00699086039073563,0.28008000871382,0,14,9,27,11,93
"14",2.36426746065392,0.813531862300888,5.36284650203145,138,"E4-2_Root","Eucalyptus","4","Root","Eucalyptus_Root","2","E4_Root",0,0.311674782870626,0.0121366534464582,0.376562578442693,0.00684020282142678,0.292785782418796,0,12,6,25,9,86
"15",3.39273937831219,0.911701784453647,11.3252571845582,401,"E4-N_Soil","Eucalyptus","4","Soil","Eucalyptus_Soil","N","E4_Soil",0.000111663223717269,0.306805873485568,0.00426553514599967,0.031522528055385,0.0194070682820613,0.637887331807269,2,26,6,98,28,241
"16",3.86026711224274,0.949522212851049,19.8106940989546,487,"E4-S_Soil","Eucalyptus","4","Soil","Eucalyptus_Soil","S","E4_Soil",0,0.155580269418267,0.00197339264660384,0.0534571999565185,0.022091963442065,0.766897174536545,0,40,8,123,40,276
"17",2.63744196567712,0.815234465897561,5.41226481907374,278,"E5-1_Root","Eucalyptus","5","Root","Eucalyptus_Root","1","E5_Root",0.00114171663438851,0.0261495395076241,0.0721564912933535,0.0845800597075514,0.0408227125495801,0.775149480307502,5,9,10,90,37,127
"18",2.71337550747167,0.826242046208715,5.75513222952191,258,"E5-2_Root","Eucalyptus","5","Root","Eucalyptus_Root","2","E5_Root",0.000581707024967778,0.0120903813032519,0.115428923385763,0.0938487333614682,0.0354270984225474,0.742623156502002,2,5,10,78,35,128
"19",3.61456084236828,0.917525582193,12.1249719196578,393,"E5-N_Soil","Eucalyptus","5","Soil","Eucalyptus_Soil","N","E5_Soil",0.003202416918429,0.151248741188318,0.0629808660624371,0.0729808660624371,0.0352769385699899,0.674310171198389,5,22,9,104,38,215
"20",4.38024962851796,0.97244597841147,36.2923429085314,573,"E5-S_Soil","Eucalyptus","5","Soil","Eucalyptus_Soil","S","E5_Soil",0.000799300377081707,0.278767760924555,0.0127605954317633,0.0875845142604591,0.0450053129966241,0.575082516009516,2,30,10,162,49,320
