"","E1_Root","E1_Soil","E2_Root","E2_Soil","E3_Root","E3_Soil","E4_Root","E4_Soil","E5_Root","E5_Soil","E6_Root","E6_Soil","E7_Root","E7_Soil","E8_Root","E8_Soil","E9_Root","E9_Soil","Neg_Control","P1_Root","P1_Soil","P2_Root","P2_Soil","P3_Root","P3_Soil","P4_Root","P4_Soil","P5_Root","P5_Soil","P6_Root","P6_Soil","P7_Root","P7_Soil","P8_Root","P8_Soil","P9_Root","P9_Soil"
"E1_Root",0,0.305180596523853,0.503294356353918,0.41280507472583,0.406250240341937,0.388890428702929,0.516713058504625,0.396208323494603,0.498142947436582,0.383429993927859,0.391334056994897,0.399948353805061,0.403128600928852,0.386543445305494,0.486562861656542,0.375207674376003,0.535440661986629,0.386503429105728,0.482900264831107,0.464551898810557,0.421809545267935,0.406054060363157,0.397885204801066,0.437085749853663,0.390594748289841,0.408764637511126,0.391901942049734,0.434296300262756,0.386741135929579,0.451780417763412,0.401445976479041,0.451128189296935,0.389736678983003,0.445531362749992,0.384185112888797,0.430246399767875,0.38350632592245
"E1_Soil",0.305180596523853,0,0.401296358726054,0.263003438197954,0.29769394976052,0.220907814501876,0.423420849882357,0.217357623452003,0.397005348584938,0.209158072296171,0.25054945782902,0.22877015029653,0.267211869912625,0.199921057288082,0.399297469539941,0.18522902175306,0.435999264908235,0.186671624527165,0.367743886802618,0.356449883308145,0.279718656093065,0.281309514569263,0.281142681506275,0.314481007263493,0.208412827403777,0.26623865276061,0.186740579492023,0.309184732508922,0.201768139870447,0.327020449996661,0.223007276756066,0.327449569809492,0.217248359684857,0.325974170473685,0.191820271176584,0.301360407246646,0.185554595726264
"E2_Root",0.503294356353918,0.401296358726054,0,0.31513022284604,0.438617233649935,0.409264548488115,0.4819810240452,0.413577309979114,0.508857478487923,0.400575737417312,0.402258649740211,0.418511736294266,0.387520277955843,0.401981542885754,0.347002020601166,0.375581733351244,0.543124870978342,0.401923322183483,0.49202348929274,0.341798728036706,0.329659963468633,0.375939367192403,0.437491614585614,0.451529334003793,0.414907530694768,0.418855821797828,0.411228931549321,0.450983175836494,0.4069524197316,0.454659541769521,0.415928975666495,0.445541653036718,0.410409183845783,0.456687593496023,0.400917314651499,0.441071320000351,0.400868044031098
"E2_Soil",0.41280507472583,0.263003438197954,0.31513022284604,0,0.340019360971617,0.273320039715,0.435545863992642,0.275231188826125,0.426578581945431,0.269441978423393,0.301648863974829,0.290826883859624,0.299531502689439,0.263372271914972,0.37170615910065,0.23860826215766,0.463716199081052,0.257374269894432,0.400724193984877,0.342180889028288,0.284708698957613,0.307165494392251,0.326641110582364,0.360636489009541,0.274046011504715,0.307470180243475,0.257909928348111,0.347616419409674,0.263791560691921,0.367738987664562,0.284391000050306,0.353643137760642,0.270834455014462,0.363028773984747,0.262345961681156,0.344787723800771,0.258108673870574
"E3_Root",0.406250240341937,0.29769394976052,0.438617233649935,0.340019360971617,0,0.279345547026737,0.453721329697209,0.313291065249025,0.439219729917894,0.292825193596211,0.295973566414638,0.319871711712081,0.310904586639452,0.305552757486715,0.391030393564423,0.285599233988786,0.466598829100597,0.298313659256369,0.410518672929683,0.392072763768581,0.347262945014355,0.318131397879845,0.344470581932376,0.343788920080665,0.317877975645133,0.31674894985459,0.313966066544826,0.359035459542155,0.302426489818443,0.346508600009041,0.308032578272939,0.345886367161725,0.308828660138428,0.36274050502703,0.296028168412391,0.329363986343313,0.285635176586057
"E3_Soil",0.388890428702929,0.220907814501876,0.409264548488115,0.273320039715,0.279345547026737,0,0.431355037029114,0.237333442086733,0.401184755795689,0.182186081689364,0.266422823277541,0.246052233483292,0.272405778663757,0.222132984663057,0.404372029535207,0.184354036320111,0.435866958410544,0.204787614277701,0.375277946206758,0.368081030051281,0.296626126442197,0.291190148541453,0.285444400486401,0.331178110702529,0.228698342596763,0.272570046417555,0.22335305154503,0.313520978588925,0.221867843321235,0.307693381856779,0.231147931242241,0.341007091906145,0.232797643747659,0.329644765221435,0.215912265298314,0.284542637381202,0.145440447441202
"E4_Root",0.516713058504625,0.423420849882357,0.4819810240452,0.435545863992642,0.453721329697209,0.431355037029114,0,0.432556738193292,0.513406011747346,0.428608367454268,0.424223564432144,0.439089146388332,0.420014441028007,0.426325198161252,0.450339554264391,0.408077718676067,0.556330530625939,0.423769173121003,0.509446481113493,0.425541554376064,0.404369622318226,0.379021396463795,0.460818365124586,0.458294606677905,0.438335915874836,0.439969893337401,0.433878923933781,0.471439660326085,0.427385733709485,0.469786349148421,0.437331769611506,0.472195052544366,0.431674438932857,0.478195166782634,0.423234696625271,0.459713572573389,0.423619036919227
"E4_Soil",0.396208323494603,0.217357623452003,0.413577309979114,0.275231188826125,0.313291065249025,0.237333442086733,0.432556738193292,0,0.410467710978694,0.227856506744725,0.270552050119117,0.230005970592687,0.284743123696795,0.218962549947384,0.41133958089882,0.204662669229605,0.447433281432037,0.211140339658625,0.380063871876905,0.37107201701319,0.298247868319927,0.299858699987193,0.298087885529406,0.334525598824594,0.240728577527493,0.267320971580081,0.180976499041664,0.325558214292771,0.220725440520226,0.342161484712826,0.221675970319564,0.330238923975704,0.222910208323394,0.343941200094276,0.216020944036132,0.31930274874718,0.208790889732103
"E5_Root",0.498142947436582,0.397005348584938,0.508857478487923,0.426578581945431,0.439219729917894,0.401184755795689,0.513406011747346,0.410467710978694,0,0.39211411297672,0.36636081448308,0.414042186566375,0.413541018819437,0.401270959090627,0.506573614409447,0.391636197863778,0.535796555935049,0.398707486960626,0.492564387839595,0.480819469284048,0.439040466218039,0.423428768711808,0.433832507876451,0.455250069377028,0.409460270012676,0.408767662045214,0.406651902591052,0.443972117147067,0.404895219329958,0.454330335406676,0.41237443890719,0.467630855641099,0.408135482711975,0.453957864127135,0.398897060083251,0.438523231654793,0.395451282122695
"E5_Soil",0.383429993927859,0.209158072296171,0.400575737417312,0.269441978423393,0.292825193596211,0.182186081689364,0.428608367454268,0.227856506744725,0.39211411297672,0,0.257292490421666,0.230815236655169,0.268754523760301,0.208140098917039,0.398861681000891,0.186247665282688,0.437269565620227,0.196184599280769,0.37170019837023,0.359354078188325,0.287501826295686,0.27734739384636,0.261844812385189,0.324838165514415,0.218855039105954,0.267786301804238,0.204039765545719,0.311087847862905,0.221452571270458,0.31837902967815,0.223177541459946,0.339841434226769,0.224305195433143,0.324185497860278,0.209003896014012,0.288090503570748,0.16497172213744
