#OTU ID,E1-1_Root,E1-2_Root,E1-N_Soil,E1-S_Soil,E2-1_Root,E2-2_Root,E2-N_Soil,E2-S_Soil,E3-1_Root,E3-2_Root,E3-N_Soil,E3-S_Soil,E4-1_Root,E4-2_Root,E4-N_Soil,E4-S_Soil,E5-1_Root,E5-2_Root,E5-N_Soil,E5-S_Soil,E6-1_Root,E6-2_Root,E6-N_Soil,E6-S_Soil,E7-1_Root,E7-2_Root,E7-N_Soil,E7-S_Soil,E8-1_Root,E8-2_Root,E8-N_Soil,E8-S_Soil,E9-1_Root,E9-2_Root,E9-N_Soil,E9-S_Soil,Neg_Control,P1-1_Root,P1-2_Root,P1-N_Soil,P1-S_Soil,P2-1_Root,P2-2_Root,P2-N_Soil,P2-S_Soil,P3-1_Root,P3-2_Root,P3-N_Soil,P3-S_Soil,P4-1_Root,P4-2_Root,P4-N_Soil,P4-S_Soil,P5-1_Root,P5-2_Root,P5-N_Soil,P5-S_Soil,P6-1_Root,P6-2_Root,P6-N_Soil,P6-S_Soil,P7-1_Root,P7-2_Root,P7-N_Soil,P7-S_Soil,P8-1_Root,P8-2_Root,P8-N_Soil,P8-S_Soil,P9-1_Root,P9-2_Root,P9-N_Soil,P9-S_Soil
5570b37b2c75265886f1551f9f50d98c,2582,2096,7887,701,47,72,3506,1604,17,33,276,311,62,72,315,544,179,232,1186,1877,141,90,2720,428,78,95,3118,12092,111,206,1561,1052,79,62,4734,3918,0,861,1069,6200,641,508,636,3092,1396,1159,2757,18517,9277,190,287,9719,734,338,562,5909,944,190,121,4103,3340,206,150,2198,4531,805,812,3415,2927,317,374,4209,1781
40169b10cf6c1856428ea7afe6153393,38013,32450,16572,0,4,0,0,0,25,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f6da1b007f7cf7f06dcd760257d1180,739,714,0,0,0,0,0,0,0,0,0,0,46395,28585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3916,4015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
eb5c4c5f97bdb87f442e1526cd01a4df,0,0,0,0,22832,22436,26026,0,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9a83eb5bd8e5d2e40a1697e6e4728df8,34,40,1455,3448,0,0,12,0,0,0,30,62,7,2,402,2360,13,0,4465,2589,3,16,357,9369,0,0,274,25,0,0,147,0,62,36,6436,7518,0,6,5,8684,32,0,0,10,6463,0,0,7,1417,4,8,3722,659,4,0,52,21,4,8,589,727,6,0,1835,4,40,69,109,1461,191,189,6571,3791
30ef926c4d2c6d5445600cd87960fca7,1459,1755,2809,394,397,474,669,1923,370,612,569,2018,146,132,173,452,13,13,60,665,319,367,488,385,25,27,152,494,193,290,1675,634,17,15,32,212,0,1568,1322,6044,1215,42,76,285,476,191,327,114,7505,647,823,447,1064,228,349,1652,2267,45,85,490,1335,5658,2298,8388,529,89,101,54,42,1081,974,3163,1010
bd28ee6e3b3641c03332a3903a9019eb,5119,4986,803,886,307,167,190,135,1380,2047,273,3691,1980,1047,1057,2138,2679,3637,1851,481,1085,821,3234,3072,1497,1520,676,375,577,1011,1720,330,283,274,209,164,0,4378,2563,259,22,437,519,69,390,1799,4166,3635,307,1572,1445,448,1430,556,409,281,432,205,296,429,630,1592,934,1625,269,463,435,92,2111,1315,1042,317,25
27344cc623be329a7f6b1c0f42c27140,256,254,397,88,330,330,26,87,0,0,0,0,101,40,67,395,0,0,69,117,117,66,188,0,0,0,0,53,69,15,34,8,58,60,248,45,27,1952,1800,1262,26,3180,3296,18,33394,197,643,45,116,6315,8358,153,351,160,90,110,27,6246,6810,1305,36,274,155,57,33,1216,1097,101,601,0,11,70,40
d04a1e4073b07e6591b1ee41061f135d,556,411,62,0,791,373,0,113,1219,1417,54,155,113,113,200,9,11001,6776,0,106,9716,6304,47,91,2756,2729,10,0,4559,3808,5,40,7426,6148,1005,338,0,1086,396,13,101,2260,3035,7,147,28,48,0,16,6386,9214,30,0,1067,858,99,47,2712,1533,27,37,1843,1500,226,81,210,392,0,560,915,441,479,87
2289222e4657fc1b53f0a26d8e66f7d3,0,0,0,0,1910,724,33,0,4608,5692,2,27,25,41,0,3,128,21,620,0,0,0,0,0,644,1619,16,6,1305,960,0,844,1210,912,334,312,7,1965,1155,0,0,2735,3935,2163,17,0,0,0,0,5,0,0,514,943,877,0,0,4083,5154,0,4,28057,29259,5,0,3127,1758,93,703,9351,5807,2,0
