"","E1_Root","E1_Soil","E2_Root","E2_Soil","E3_Root","E3_Soil","E4_Root","E4_Soil","E5_Root","E5_Soil","E6_Root","E6_Soil","E7_Root","E7_Soil","E8_Root","E8_Soil","E9_Root","E9_Soil","P1_Root","P1_Soil","P2_Root","P2_Soil","P3_Root","P3_Soil","P4_Root","P4_Soil","P5_Root","P5_Soil","P6_Root","P6_Soil","P7_Root","P7_Soil","P8_Root","P8_Soil","P9_Root","P9_Soil"
"E1_Root",0,0.483912533545286,0.438918653970893,0.57741288506899,0.492002243970624,0.438305783761265,0.572978220065032,0.4921853345727,0.635366529607509,0.534731707811837,0.443600565299963,0.471468054722158,0.478375723131753,0.525772412973683,0.500528317986453,0.44778353751732,0.433587834556155,0.430903432509865,0.596619246298002,0.520797166457535,0.456554501665727,0.536534864389418,0.480236798806778,0.499355317073293,0.571164991131519,0.528483581325832,0.453795810023085,0.517283037440043,0.449157934786621,0.461525291739326,0.52101163444687,0.475843909975098,0.546262277440425,0.577160573243543,0.480307701406853,0.445047452893177
"E1_Soil",0.483912533545286,0,0.357489617375935,0.530403816343295,0.431763540242404,0.381693209866847,0.522612797813235,0.431773551117935,0.589780262481774,0.479707034778341,0.3757335245616,0.408000766885099,0.415991628421668,0.469699571612539,0.441260001867392,0.380385543089667,0.364319239625527,0.371954776709312,0.547971349228779,0.45501802308769,0.391612128592827,0.464198765377707,0.419467114967356,0.441627070224209,0.520728967990178,0.472732333966334,0.387448873589926,0.460177191314544,0.382002458854864,0.396469851016922,0.464364505901498,0.394760443527071,0.475299954877849,0.526045673393411,0.418516758308783,0.37498709835642
"E2_Root",0.438918653970893,0.357489617375935,0,0.489699372805444,0.380584124278326,0.322753149382428,0.441241012202564,0.350863682044162,0.553436549905693,0.434277711271881,0.314720609636056,0.35347435830221,0.362656668184841,0.423197515080799,0.391181145381909,0.305490618021755,0.29816178570756,0.316713878855229,0.495507284697853,0.407180788301998,0.324605589475793,0.430058141652451,0.337692249512064,0.360801882117547,0.442446410625977,0.418795249337196,0.303310622724762,0.402217896013236,0.30422602388741,0.340080958691515,0.398582746798238,0.342516580227136,0.428912597470866,0.485550369018758,0.359844841508845,0.317316467084871
"E2_Soil",0.57741288506899,0.530403816343295,0.489699372805444,0,0.537954284463048,0.498462290305552,0.613273176608247,0.535156144198378,0.67145498617369,0.577144828859035,0.493694752334319,0.517200808784924,0.525379306110314,0.568440709011944,0.545605957231667,0.497660697130364,0.485490434898173,0.496642318662913,0.634811323995338,0.56336691564521,0.503681504663978,0.578815908082892,0.527967119721611,0.545689421950296,0.611692724150756,0.303835493614016,0.502509216540529,0.561016451130937,0.498897742762734,0.510060745868192,0.564456264047216,0.523052673872167,0.587844305481665,0.616663337847727,0.527381014269607,0.495200216157807
"E3_Root",0.492002243970624,0.431763540242404,0.380584124278326,0.537954284463048,0,0.392117057340336,0.529726737775024,0.441015454464056,0.566980821765945,0.464966420210301,0.381365986741764,0.417768816956973,0.414239299870807,0.478209217098218,0.316983993232534,0.390844263081839,0.36817737564724,0.389426816886575,0.555274432509288,0.474554533047585,0.401778754307137,0.490017206581481,0.402281650361901,0.445134609783756,0.528467533842727,0.477145422870501,0.397721920100383,0.468859658109514,0.392418093989601,0.406456332634642,0.472970116478569,0.42270086317525,0.500649021654901,0.534180869430502,0.427750699292538,0.387327998899587
"E3_Soil",0.438305783761265,0.381693209866847,0.322753149382428,0.498462290305552,0.392117057340336,0,0.476233415740884,0.389775749747278,0.554919425985217,0.43817396412779,0.275594990121536,0.344517997310099,0.369094401443095,0.433428245508471,0.40202893306682,0.333370444469417,0.31633101644572,0.331455232436214,0.516243206900924,0.429501132611292,0.347414124393573,0.446477181423353,0.377796905242755,0.396715691421569,0.488483360114684,0.436819520841217,0.339129687985786,0.423200517734794,0.332979701652471,0.352880716791099,0.422635194567699,0.371410987378539,0.458168285740746,0.493167418679447,0.377481770246705,0.313665591509419
"E4_Root",0.572978220065032,0.522612797813235,0.441241012202564,0.613273176608247,0.529726737775024,0.476233415740884,0,0.530282367750822,0.665317526983976,0.569857791224441,0.480990984193124,0.492733249124059,0.514402800623564,0.561596322864735,0.53663327280859,0.489348705618932,0.476966422495804,0.488312994160645,0.625404296289035,0.558487371908337,0.498125947748087,0.571684953852864,0.512241530445785,0.538336195526486,0.599029654500332,0.564135423796905,0.494859449578388,0.553656323322057,0.490546717164095,0.501954110456267,0.557141577617519,0.513597144789387,0.58082419000922,0.609974933188302,0.517818922802796,0.476096136891269
"E4_Soil",0.4921853345727,0.431773551117935,0.350863682044162,0.535156144198378,0.441015454464056,0.389775749747278,0.530282367750822,0,0.596610245456782,0.48738093569236,0.386485536718297,0.416489327250143,0.4255864872333,0.475792494514372,0.450316886372475,0.390855314383505,0.37523749842489,0.389557871641999,0.555232100265636,0.474563648797882,0.399953561029397,0.490026037529378,0.428984260991614,0.450626934793635,0.367811240673036,0.480720237520886,0.397732781486381,0.468474502915316,0.392278315094092,0.406525652773685,0.42395018801442,0.422702708474297,0.500657666996362,0.534199492787039,0.426545323585031,0.383947905970332
"E5_Root",0.635366529607509,0.589780262481774,0.553436549905693,0.67145498617369,0.566980821765945,0.554919425985217,0.665317526983976,0.596610245456782,0,0.201538822621451,0.536178140391487,0.57963643966976,0.534260211766259,0.624608736662344,0.603511744861021,0.560481983513959,0.549749314773335,0.559636066647768,0.685365505410747,0.621762602587563,0.56821890370685,0.633695256074002,0.460741163637002,0.578520349085145,0.663930008729484,0.608067699173472,0.565259555711977,0.617433980747255,0.466392990935531,0.571577924723532,0.454653945287617,0.583165088396138,0.641941434278574,0.623533174066564,0.587063241408993,0.558356642592985
"E5_Soil",0.534731707811837,0.479707034778341,0.434277711271881,0.577144828859035,0.464966420210301,0.43817396412779,0.569857791224441,0.48738093569236,0.201538822621451,0,0.422124477064299,0.465594748609821,0.434009306813778,0.521904280221523,0.496463571023122,0.443235415430898,0.429526142329416,0.442091705577324,0.593330577955491,0.518557534639626,0.452430712050345,0.532588930348792,0.377852435176272,0.477312306595045,0.568373910693333,0.510303163367217,0.449311951923303,0.5133509515048,0.350032232805451,0.457113900239774,0.36513204066111,0.471566469405182,0.542540228307147,0.53430503038005,0.476362744632222,0.440395978758385
