"","OTU","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","Tree"
"16650","f88c98868cbab309d1b3076e31abfa1f","E5-2_Root",0.8554195239292,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"16651","f88c98868cbab309d1b3076e31abfa1f","P7-2_Root",0.503434065934066,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"49","a0162e714f889101650ab24a191450bb","P8-2_Root",0.446593406593407,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"7101","c5a416edbfb1e9027fbff4c6f6e8c452","E3-2_Root",0.404397106567181,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Eucalypt"
"10805","d91977da1f95b54431d258a83f8ae79c","E7-2_Root",0.380524824969269,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Eucalypt"
"17210","fc1cec678f1da26d5782ab47e3a37cdf","P9-1_Root",0.348912540490514,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Pine"
"1625","a9d1b77747e6b11fb1ac8cc94480aea7","P3-1_Root",0.339457380901517,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"17437","fdc4f4e291fd8bb3dcedd6e5a9fe413e","E7-1_Root",0.332342693174831,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Eucalypt"
"6803","c420e7722d3ec7e12544d136b3e5f4c2","E8-1_Root",0.301050175029172,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"17244","fc1cec678f1da26d5782ab47e3a37cdf","E6-1_Root",0.286481593240797,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Eucalypt"
"16646","f88c98868cbab309d1b3076e31abfa1f","P6-1_Root",0.261730031721983,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"12171","df807f195226d8361e9220336cb7220d","P5-1_Root",0.261069114470842,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"9703","d2a2d39116eb542aa1cf4c25f1a2e193","E1-2_Root",0.194225721784777,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"349","a1b03734934a04e9374f116aba30afea","P7-1_Root",0.19038754442376,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"17137","fba8f918e39a3479cb17bda62a19755d","E9-1_Root",0.183582917359956,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"3352","b2cfbf3d9741bd108f93205a8ff34b94","E1-1_Root",0.170014347202296,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"10834","d91977da1f95b54431d258a83f8ae79c","P2-2_Root",0.157159922353293,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Pine"
"3204","b1ae55eca0232aedaa5a8c427fd52e7a","E7-2_Root",0.149751483084816,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"1325","a7a43596ab558732f57183781a860456","E1-2_Root",0.149606299212598,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"7515","c77aa65dd5cad2dc28afa7d3a295f01d","E2-2_Root",0.143520963142887,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"7223","c60be867b6bf262b3dd9bc9cd2d8267d","P5-1_Root",0.132154427645788,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"1089","a665ac1f379940cb6ddc1aa4db82a0e7","P4-2_Root",0.131940258522537,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"5813","be2a5104053dc00a8f80670cd5746346","E6-2_Root",0.123655465688318,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Eucalypt"
"1429","a825788c42eb43487062982613cda02b","P4-1_Root",0.12353076745794,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"9574","d1a50a6acd9b514f1aaa0157ee61abbd","E8-2_Root",0.121593291404612,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"4339","b6fc849e83dbb84393b30eaa8815477e","E1-1_Root",0.120414019266243,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"12202","df807f195226d8361e9220336cb7220d","P1-2_Root",0.118075801749271,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"10718","d86437217bb78f0b3e88b4598457ad5b","P3-1_Root",0.106707968382824,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"1649","a9d1b77747e6b11fb1ac8cc94480aea7","P4-2_Root",0.102136494541558,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"1628","a9d1b77747e6b11fb1ac8cc94480aea7","E4-2_Root",0.100032102728732,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"39","a0162e714f889101650ab24a191450bb","E2-2_Root",0.0940965255042771,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"1655","a9d1b77747e6b11fb1ac8cc94480aea7","P4-1_Root",0.0829684259045863,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"17099","fb253387e7c0b9c28b6c7a490ab41eb5","E3-1_Root",0.0791709419248923,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00345","Eucalypt"
"10812","d91977da1f95b54431d258a83f8ae79c","P2-1_Root",0.077569308316998,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Pine"
"12178","df807f195226d8361e9220336cb7220d","P3-1_Root",0.0737022003845332,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"13921","e8d04d97cc2ddeba29271189d15bad7f","P6-2_Root",0.0574811516470172,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Pine"
"13624","e7d5c66c0365aef96f6593d1fee2c850","P3-1_Root",0.0566118350779748,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"12251","dfdedaf0924e1a13cbf8d8e81237e91a","P9-2_Root",0.0534064665127021,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Pine"
"13219","e4fc12c5f242213db1467c016961232f","E9-1_Root",0.050402107598447,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"4982","bb29d5d6dccd31c7bb2c5806bcdedfc5","P1-1_Root",0.0491130756341365,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"12170","df807f195226d8361e9220336cb7220d","E8-1_Root",0.0490081680280047,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"14617","ed02c319a834a1b850a730fdf21b0384","P6-1_Root",0.0465887031864022,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Pine"
"10183","d56beadd7d7d82b1b2e3d33db189149c","P2-2_Root",0.0462893833059579,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"4081","b6401056fa55fdb02d48684a33d10845","P8-2_Root",0.0457142857142857,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"3444","b3306e2bd8b55987e8dcd4f17803ce85","E1-1_Root",0.0453986472637836,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"3325","b2a7c66090c5285faaf9200b28527af5","P4-2_Root",0.0446721585962092,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"69","a0162e714f889101650ab24a191450bb","P6-2_Root",0.0436168597884937,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"15821","f44166e4ad8cc6254b5ef3c7a80a4693","P2-2_Root",0.0431536508884575,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"16791","f93ccfd627dd32b06efadc83732a35fd","E9-1_Root",0.0419439822518025,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
"16286","f63f3a80f81d6ec65d4ffcde6f84eb76","E9-1_Root",0.0404880754298392,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
"7545","c793016802894d7197e99664379b5f03","P8-1_Root",0.040175864160097,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00348","Pine"
"8227","cb2f6c9f564047a0aedcc1acbe98d54b","P7-1_Root",0.0383031533818469,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"13957","e8fd10ce4133d1bc3600415fd13789fd","E7-1_Root",0.0369952859192457,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00191","Eucalypt"
"5896","be4e8def665aca267cae1bbd7f6e741c","E2-1_Root",0.036770140428677,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"15258","f11dd0ef669d237b82fb0a038a4d4a00","E8-1_Root",0.0364060676779463,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"15496","f1b83a6b288b34fa4f781551e254ab1f","P5-1_Root",0.0360421166306695,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"11533","db59913911aeb5150460be3227699d08","E9-1_Root",0.0350110926234054,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
"3713","b424350735fb06940de7be3497d458bc","E7-2_Root",0.0347923681257015,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Eucalypt"
"9207","d09483a07d85eec71d70a4d2af1b4907","P1-2_Root",0.0347611572101368,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"12127","df36cc7974efaeecd3d4044e5a9fdeff","E7-1_Root",0.0342283254765321,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Eucalypt"
"17211","fc1cec678f1da26d5782ab47e3a37cdf","E9-1_Root",0.033763172490294,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Eucalypt"
"11931","de772703fe85b912d7eb9f0686330725","P6-1_Root",0.0331423701529284,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"15274","f1359d6807b6364c405812394068c4d5","P6-2_Root",0.0318271517482164,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Pine"
"8271","cb43fd005e2c8211bfc7b3619bed6a7c","P2-2_Root",0.0315066447663133,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"7844","c94ae4abab3cc680830c5ea6b367335b","E9-2_Root",0.0310477441140606,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00345","Eucalypt"
"9337","d0c7900dfcec949fb30e1347e407372d","P5-1_Root",0.0306425485961123,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"10138","d5267bb49beb061bdac3f050cd3c9000","E8-2_Root",0.030398322851153,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"1080","a66244661d1bb73996ec62c4bbccc899","E7-2_Root",0.0303030303030303,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00191","Eucalypt"
"7724","c91e724a44b6f07a45de18aaabc4ba71","E9-1_Root",0.0291181364392679,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
"11398","dac1242b8afba4c99b26ca632140280f","P6-1_Root",0.028549784574594,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"3821","b510963c1e06ea3259017098eb8700c2","P5-2_Root",0.0277149321266968,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"2342","adf5a537db46e781786729344952e3c1","E6-2_Root",0.0275577420161761,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"1335","a7a4d2d02091095c9ccf618a6533f765","P2-1_Root",0.0275366377298609,"Fungi","Mucoromycota","Glomeromycetes","Diversisporales","Gigasporaceae","Scutellospora","VTX00052","Pine"
"15013","ef28bc93b30968b3877b8128334530c7","P5-2_Root",0.0272435897435897,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"10917","d9423925fa18d13bcc7316caba1881d3","E8-1_Root",0.027071178529755,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"9606","d1c8d47a4261da7f2978163f40a4c68b","P5-1_Root",0.0261879049676026,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"16624","f7f00a7fdfdc55da36ce27200c168484","P2-1_Root",0.0261364697096985,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Pine"
"11643","dbc66132422a3fc00947e85330cddaab","E6-2_Root",0.0249729008588343,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00191","Eucalypt"
"16976","fab2e3cb8f223cd695e6c4f42b67d6d1","E4-2_Root",0.0243980738362761,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00103","Eucalypt"
"11803","dd8a06da8b21db7b9f15fc4e4db475bd","E4-1_Root",0.0243189786927987,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00213","Eucalypt"
"17588","fe0055e4fb90aaf3f3ec9235081421e7","E2-1_Root",0.0241130820399113,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00352","Eucalypt"
"13160","e4d082ddc814fa7cf9a1acce5bb0990a","P2-2_Root",0.0233686725399433,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"4204","b67a016bcd07c492fb7f8f017847c59e","P2-1_Root",0.0232427891346962,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"13791","e89567c3dcd2a878e794505b6bf86578","P2-1_Root",0.0232427891346962,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"3813","b496cfed040a2837c409ab8cebd9cc9f","E4-2_Root",0.0229213483146067,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00213","Eucalypt"
"17061","fad83a4eea3172b4f0a919061ea311da","E8-1_Root",0.0228704784130688,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"15790","f3bcfbc9edfa84569e51436ceb39e8d7","P6-1_Root",0.022820889162445,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Pine"
"8721","cd46d92e83c0db2939f7ccf70b68ecfc","E1-1_Root",0.0225456036072966,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00213","Eucalypt"
"13503","e72fadf2155aa1ca113b8bcf1bdfd760","P2-1_Root",0.0221226547185662,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"13251","e56b8eb16c573fea7b88175c633a73b9","P3-1_Root",0.0211493270668661,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"9998","d4478dee7fd50cd044acf6275d7aa2c6","P6-1_Root",0.0210690781686473,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00159","Pine"
"927","a5a515daf4f9c2263144cd93e12465c0","P1-1_Root",0.0209741723002253,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"1259","a6db44106c2f061bc53697df7c910767","P6-1_Root",0.0209270394394205,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Pine"
"4544","b808776dbd9254e38ad5699efb78c47d","E9-2_Root",0.0207297626864272,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00352","Eucalypt"
"8211","cb2f6c9f564047a0aedcc1acbe98d54b","E7-1_Root",0.0205472432875589,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"17621","fe0f0e78faab015c33ad71ba4f9ba3fe","E3-2_Root",0.0205046420231247,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"14606","ecdac958b5e037ba886f1b49b061c850","E6-1_Root",0.0202776101388051,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
"5143","bb7e7451b1b5063aeb539ad9fbb08901","E2-1_Root",0.0202328159645233,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"3997","b5e9986f235ce4dcac645b486d47c58c","E9-1_Root",0.0196894065446478,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"2701","aedc9dc1a87b3daa0943dfb41dfb9ebd","E6-1_Root",0.0195534097767049,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
"16329","f6bab1187b79aa98c71fe04e37305580","P5-2_Root",0.0195135746606335,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"8688","cd15adf06b241e41c45598bdf6582183","E3-1_Root",0.018961625282167,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00191","Eucalypt"
"5065","bb5643d468b1af61fe600ea56789db37","P3-2_Root",0.018878345132299,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"2055","ac24bfa75864553de04170a89f955c86","P6-2_Root",0.0182664575216313,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"4319","b6c621447e3be18c37bc4f44a82e3d4e","E8-1_Root",0.0182030338389732,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"17592","fe0055e4fb90aaf3f3ec9235081421e7","E2-2_Root",0.0181645369099166,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00352","Eucalypt"
"16244","f61e63c70487d20cdf8e2735a59cdf66","E6-1_Root",0.0178636089318045,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"14032","e9813877346ce2846e94d44e0417ce2d","P6-2_Root",0.0178110610737236,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00213","Pine"
"8471","cc984322f4991515ad7666defc3f5ed6","E6-2_Root",0.0177186692237138,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"10920","d9423925fa18d13bcc7316caba1881d3","E9-1_Root",0.0176788685524126,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"4097","b6401056fa55fdb02d48684a33d10845","P2-2_Root",0.0175451694788711,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"9514","d184b1f41dd6feb4cffcb708c8e5378e","E9-1_Root",0.0172628951747088,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00213","Eucalypt"
"4208","b67a016bcd07c492fb7f8f017847c59e","P8-1_Root",0.0169799878714372,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"13401","e66e31866c0ffef4f4bf92123dbc00f3","E2-2_Root",0.0167916358643996,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"17783","feed78269527a0de58130e907eada82a","E7-2_Root",0.0163540163540164,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"4325","b6fc849e83dbb84393b30eaa8815477e","P3-1_Root",0.0163426618243965,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"10921","d9423925fa18d13bcc7316caba1881d3","E3-2_Root",0.0162897989405935,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"10948","d9498d5246f0e559db0f5f945af247da","P6-1_Root",0.0161924151318593,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"13047","e42872bb13d68b352599d9dba6ce7713","P8-1_Root",0.0159187386294724,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"5122","bb7e7451b1b5063aeb539ad9fbb08901","E2-2_Root",0.0156299503643468,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Eucalypt"
"2856","afea792d003a38b5eb8c24d967651cd2","P6-1_Root",0.0153875289995739,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Pine"
"8293","cba9e1b9f4aa95ab3d684a4ed298c5e1","E4-1_Root",0.0147891755821271,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00080","Eucalypt"
"12861","e2a7a08d1b25d203752553ff1b55398d","E2-2_Root",0.0139402260006336,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"10203","d59858158eb47adacca1ed1720f269af","P5-2_Root",0.0138574660633484,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"9184","d09483a07d85eec71d70a4d2af1b4907","P1-1_Root",0.0134049806436702,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"16534","f76d0047d6f97ebd2ac60f6230d51f50","P2-2_Root",0.0132148723308944,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"9631","d20eedda3a9dfcda0c2fab07be9ab38b","E6-2_Root",0.0129658967731177,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
"9202","d09483a07d85eec71d70a4d2af1b4907","E6-2_Root",0.0126323688818477,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"14061","e99fcbe0359652aa7ae8c7615e06111b","E9-2_Root",0.0125691773754807,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"14711","ed499a42c6e9a43cfb4fadd8d2f8326f","P5-1_Root",0.0124190064794816,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"587","a2dcda5832471a983fc67e9375716ea2","E4-2_Root",0.0119422150882825,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00191","Eucalypt"
"5176","bbbea92c0db185b7598afa6240c1d5ca","P5-2_Root",0.0117835595776772,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"16023","f4f33d93f051f0d87e5eb9535ade437d","P5-1_Root",0.011744060475162,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"10583","d7950d8bdd0f16740a6c640d528baae3","E6-2_Root",0.0114650212624031,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00159","Eucalypt"
"1984","abc5ee16ef3d0d4e685767a273514a40","P2-2_Root",0.0111990443482156,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"1345","a7a4d2d02091095c9ccf618a6533f765","P6-2_Root",0.0111825127764003,"Fungi","Mucoromycota","Glomeromycetes","Diversisporales","Gigasporaceae","Scutellospora","VTX00052","Pine"
"11096","d996bb59b4ec57c3b1816c00652d602f","E9-2_Root",0.010505581089954,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00166","Eucalypt"
