Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
05e451b8a176accda3cf5e3582aa5bc6,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,VTX00005
0606a6077eaf11cd70500de438f275d7,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
063b058ce85d59923e5bf8537a55e5df,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0669646d20cfb9f5c1dc65b0fb3c33b4,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
06cc006ac27fb24ecddbca3cd7ef8ffb,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
071255aa5ef4464c43c8322785ffe47b,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00213
074eaafa72a85d251276545536760e31,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
07685ea86e1167a27df2a5075130a7f8,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
077e9673e39edb87205570694241c4c9,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
07d8c68e0a80b4a48fabc2b472e018a7,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
07d94cea1bca594bd59b3e7d015c89e7,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
07e9497dc48458ffd0e30421b39ab927,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
07ed02d4762b71b5c3424865b0e77751,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
07f449e2371cb1cb9b372bf0f3994fbf,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
080837512faa713b06d043bbf91153f4,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
083c0ddf4e03369967dabb4fd5a7c0a8,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
08428240453cc491a96ec218d05c053e,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
0857328735f1f403f32cae6fdf38d60e,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00352
086c81b983f47091458326a28d8cf6a3,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00345
08f2f21b8fe9b82a2b3d3e5abad3494f,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
09098d93bdbf29cab14975cec32b6919,Unassigned,,,,,,
0936951245a671c168bc60eb47e065ef,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
