"","dbh_p","tree_p","int_p","dbh_f","tree_f","int_f","R2","variable"
"1",0.00257324204035353,0.004200463626798,0.564130111907972,13.3957505208779,11.6504741106906,0.348937815989009,0.659056069151862,"Bac_Shannon_soil"
"2",0.000376547288728912,0.00245420538555273,0.357844640427712,21.6034168198082,13.5713182365716,0.903974400672473,0.732657473133193,"Bac_Simpson_soil"
"3",0.00222648675127455,0.00264174648874247,0.768651018204718,13.9361936184964,13.298892299193,0.0899472893664739,0.675488290109236,"Bac_Invsimpson_soil"
"4",0.0432422848502761,0.00856753666670706,0.339015328510837,4.93912287227924,9.33189615082738,0.979938870157082,0.535803435538013,"Bac_Richness_soil"
"5",0.719454885958549,0.59966514113794,0.807795829166483,0.13433904915191,0.288422651900279,0.0614641914822144,0.0318899203626816,"Copiotroph_rel_abund_soil"
"6",0.0888472357080677,0.736221546915798,0.542680694634673,3.34361474038511,0.11809006455475,0.38934008032627,0.219775664189973,"Oligotroph_rel_abund_soil"
"7",0.0801788910485504,0.320205580691105,0.307155568683935,3.55792979539827,1.06213454571928,1.12328557002505,0.300197184801047,"OtherBacteria_rel_abund_soil"
"8",0.449616473096857,0.0909895701762673,0.550210128729662,0.605015589675758,3.29450277485583,0.374807271806806,0.241888863807907,"Copiotroph_richness_soil"
"9",0.0307046945555681,0.0421638117683233,0.210403700227763,5.7733754579795,4.99898448291402,1.72312451023611,0.485530287090393,"Oligotroph_richness_soil"
"10",0.0757672277703041,0.0117561370084042,0.577493945483642,3.67795609659186,8.38139982181241,0.325274891004121,0.483952434109561,"OtherBacteria_richness_soil"
"11",0.566307807448964,0.290538465835057,0.582428221133093,0.34500483542617,1.20660278303403,0.316818507710979,0.122562370286711,"Fungal_Shannon_soil"
"12",0.698229041239244,0.331413246371316,0.703723038218264,0.156646191343909,1.01235726144546,0.150682065433785,0.0893887971928432,"Fungal_Simpson_soil"
"13",0.973730197203781,0.363390539089003,0.621956888860754,0.00112384186245167,0.882703575382424,0.254225865741792,0.0751487306384255,"Fungal_Invsimpson_soil"
"14",0.296299579098144,0.234084909884768,0.892680176140285,1.17698625014923,1.54642837910897,0.0188755562895896,0.172695190933899,"Fungal_Richness_soil"
"15",0.194250937256205,0.106514126220767,0.00820804006176544,1.85912268660201,2.97579706999299,9.46429883235259,0.510722258369316,"AMF_abund_soil"
"16",0.138119203847122,0.605838560605836,0.87432345794101,2.47325143633163,0.278673463130582,0.0259502212551383,0.160893843078445,"ECM_abund_soil"
"17",0.215815208190961,0.975908860353081,0.698498012678372,1.68053954688616,0.00094510171662184,0.156351064553992,0.116688321634688,"Endo_abund_soil"
"18",0.784222592035215,0.387113267698251,0.503128282821643,0.0779161599124694,0.79688564627883,0.472365491097114,0.0898391937357132,"Other_abund_soil"
"19",0.676479275932585,0.89903619382992,0.720569621861819,0.181602093646829,0.016692979996171,0.133221715002549,0.0236561410210569,"Path_abund_soil"
"20",0.0758980370819188,0.830773156908391,0.802048506434169,3.67427808469235,0.047410790788305,0.0652829106453105,0.211230819038346,"Sap_abund_soil"
"21",0.773014827228279,0.142649148259137,0.923583239681647,0.0864806395546594,2.41288788938778,0.00953833704159567,0.155410124034302,"AMF_richness_soil"
"22",0.00965308170870723,0.0165594376712,0.0299994473317267,8.96800635136451,7.4041002932744,5.83177742733281,0.624579935844826,"ECM_richness_soil"
"23",0.377678946643224,0.361644911520956,0.844539156063172,0.83004785908197,0.889347003156126,0.0399048716108912,0.11805227658765,"Endo_richness_soil"
"24",0.690582782193851,0.391550318910879,0.615351407120741,0.16517245346419,0.781708481910567,0.264071315280846,0.082556706771286,"Other_richness_soil"
"25",0.247585624877071,0.919652800679086,0.943241573555308,1.45584768558437,0.0105485631254838,0.00525402950932079,0.0945453985662676,"Path_richness_soil"
"26",0.253757647306067,0.181896990836387,0.925323594820642,1.41658809698326,1.97328851561562,0.00910742295727337,0.205550832471332,"Sap_richness_soil"
"27",0.866516416859084,0.427336048907188,0.644291144384371,0.0293093839810353,0.668308860184381,0.222659349698185,0.0607456545318432,"AMF_Shannon_soil"
"28",0.87472730739043,0.669123952664417,0.655804161476517,0.0257821721298882,0.190540288678692,0.207389377236608,0.0288405940337901,"AMF_Simpson_soil"
"29",0.948198137936495,0.397980219589552,0.92132258878415,0.00437508353226391,0.760173923781288,0.010113105336109,0.0521598045470279,"AMF_Invsimpson_soil"
"30",0.336910668999366,0.506042926782746,0.411619783094756,0.98880895034432,0.46584309410838,0.71621827520575,0.129967195048253,"AMF_Richness_soil"
"31",0.996505134476022,0.336783756977046,0.362491899114617,1.98829723057185e-05,0.989346363315814,0.886117689392659,0.118321996694881,"Bac_Shannon_root"
"32",0.580771258217984,0.771556922555262,0.160526226156248,0.31964163487467,0.0876305261244363,2.1959892461875,0.157939303204705,"Bac_Simpson_root"
"33",0.440998808620524,0.44833590148568,0.142632594291833,0.628881937962805,0.608514615695458,2.41310414517893,0.210513771924282,"Bac_Invsimpson_root"
"34",0.312418695728864,0.750978972907282,0.991529599461247,1.09819238394329,0.104756475173005,0.000116800121663584,0.0768334054496239,"Bac_Richness_root"
"35",0.209614873870404,0.26617112759661,0.166558067975849,1.72945026458072,1.3413564931664,2.12951595457735,0.263975317388749,"Copiotroph_rel_abund_root"
"36",0.946873162065237,0.52843250881346,0.849660241326616,0.00460212837705651,0.417921124871131,0.0372844753208748,0.0315412819444344,"Oligotroph_rel_abund_root"
"37",0.0760951128944594,0.304320600619641,0.0651901977894344,3.66875111068939,1.13705202197223,4.00328835167922,0.379747712055852,"OtherBacteria_rel_abund_root"
